model,coverage,accuracy,risk
latent_only_temp_scaled,0.14743589743589744,0.9130434782608695,0.08695652173913049
latent_only_temp_scaled,0.1955128205128205,0.9262295081967213,0.07377049180327866
latent_only_temp_scaled,0.2419871794871795,0.9403973509933775,0.05960264900662249
latent_only_temp_scaled,0.2900641025641026,0.9502762430939227,0.04972375690607733
latent_only_temp_scaled,0.33653846153846156,0.9476190476190476,0.05238095238095242
latent_only_temp_scaled,0.38461538461538464,0.9416666666666667,0.05833333333333335
latent_only_temp_scaled,0.4310897435897436,0.9479553903345725,0.052044609665427455
latent_only_temp_scaled,0.4791666666666667,0.9464882943143813,0.05351170568561869
latent_only_temp_scaled,0.5256410256410257,0.9329268292682927,0.06707317073170727
latent_only_temp_scaled,0.5737179487179487,0.9050279329608939,0.0949720670391061
latent_only_temp_scaled,0.6217948717948718,0.8969072164948454,0.1030927835051546
latent_only_temp_scaled,0.6682692307692307,0.8872901678657075,0.11270983213429253
latent_only_temp_scaled,0.7163461538461539,0.8747203579418344,0.12527964205816555
latent_only_temp_scaled,0.7628205128205128,0.8718487394957983,0.12815126050420167
latent_only_temp_scaled,0.8108974358974359,0.8517786561264822,0.14822134387351782
latent_only_temp_scaled,0.8573717948717948,0.8542056074766355,0.14579439252336446
latent_only_temp_scaled,0.905448717948718,0.8513274336283185,0.14867256637168147
latent_only_temp_scaled,0.9519230769230769,0.8383838383838383,0.16161616161616166
latent_only_temp_scaled,1.0,0.8317307692307693,0.16826923076923073
latent_quantum_hybrid_temp_scaled,0.09935897435897435,0.9516129032258065,0.048387096774193505
latent_quantum_hybrid_temp_scaled,0.14743589743589744,0.9347826086956522,0.06521739130434778
latent_quantum_hybrid_temp_scaled,0.1955128205128205,0.9508196721311475,0.049180327868852514
latent_quantum_hybrid_temp_scaled,0.2419871794871795,0.9536423841059603,0.04635761589403975
latent_quantum_hybrid_temp_scaled,0.2900641025641026,0.9502762430939227,0.04972375690607733
latent_quantum_hybrid_temp_scaled,0.33653846153846156,0.9428571428571428,0.05714285714285716
latent_quantum_hybrid_temp_scaled,0.38461538461538464,0.9458333333333333,0.054166666666666696
latent_quantum_hybrid_temp_scaled,0.4310897435897436,0.9516728624535316,0.048327137546468446
latent_quantum_hybrid_temp_scaled,0.4791666666666667,0.939799331103679,0.06020066889632103
latent_quantum_hybrid_temp_scaled,0.5256410256410257,0.9237804878048781,0.07621951219512191
